,Unnamed: 0,City,Country,Max Temp,% Humidity,% Cloudiness,Wind Speed,Lat,Lng
1160,1160,Sharjah,AE,85.98,50,0,5.75,25.3573,55.4033
1161,1161,Jasper,CA,52.95,84,100,5.75,52.8833,-118.0857
1162,1162,Busselton,AU,58.06,61,100,10.22,-33.65,115.3333
1163,1163,Valparaiso,CL,55.47,83,0,2.3,-33.0393,-71.6273
1164,1164,Shahrud,IR,73.99,22,83,0.72,36.4182,54.9763
1165,1165,Kardla,EE,49.05,74,26,5.99,58.9978,22.7492
1166,1166,Caravelas,BR,70.5,70,99,8.81,-17.7125,-39.2481
1167,1167,Ostrovnoy,RU,52.66,82,96,7.7,68.0531,39.5131
1168,1168,Saint-philippe,RE,71.19,66,55,7.25,-21.3585,55.7679
1169,1169,Tayga,RU,40.12,82,99,7.74,56.06,85.6197
1170,1170,Torbay,CA,48.27,70,75,11.5,47.6666,-52.7314
1171,1171,Mar del plata,AR,48.09,90,100,5.75,-38.0023,-57.5575
1172,1172,Biak,ID,82.9,68,26,2.55,-0.9131,122.8766
1173,1173,Ribeira grande,PT,65.16,94,81,11.72,38.5167,-28.7
1174,1174,Kudahuvadhoo,MV,82.76,72,100,10.38,2.6708,72.8944
1175,1175,Salaya,IN,81.95,77,80,11.99,22.3167,69.6
1176,1176,Kloulklubed,PW,75.7,69,100,1.7,7.0419,134.2556
1177,1177,Albany,AU,54.82,77,100,5.99,-35.0169,117.8917
1178,1178,Saint-philippe,RE,71.19,66,55,7.25,-21.3585,55.7679
1179,1179,Iguape,BR,64.36,91,14,5.03,-24.7081,-47.5553
1180,1180,Tuatapere,NZ,56.79,70,2,5.53,-46.1333,167.6833
1181,1181,Barmer,IN,80.29,61,82,14.74,25.75,71.3833
1182,1182,Ushuaia,AR,47.86,49,75,17.27,-54.8,-68.3
1183,1183,Georgetown,SH,78.01,69,34,10.38,-7.9333,-14.4167
1184,1184,Butaritari,KI,82.24,71,69,12.84,3.0707,172.7902
1185,1185,Kapaa,US,82.38,70,0,10.36,22.0752,-159.319
1186,1186,Yellowknife,CA,73.56,25,79,17.0,62.456,-114.3525
1187,1187,Fort dodge,US,64.53,94,100,0.0,42.4975,-94.168
1188,1188,Portland,AU,51.78,69,79,16.15,-38.3333,141.6
1189,1189,Lavrentiya,RU,43.07,60,53,5.97,65.5833,-171.0
1190,1190,Hilo,US,87.28,86,100,4.61,19.7297,-155.09
1191,1191,Albany,AU,54.82,77,100,5.99,-35.0169,117.8917
1192,1192,Port elizabeth,ZA,55.38,82,7,6.13,-33.918,25.5701
1193,1193,Busselton,AU,58.06,61,100,10.22,-33.65,115.3333
1194,1194,Vaini,TO,75.96,79,45,7.43,-21.2,-175.2
1195,1195,Dikson,RU,30.94,91,100,12.1,73.5069,80.5464
1196,1196,Beaupre,CA,53.67,94,98,3.0,47.0443,-70.8953
1197,1197,Vanimo,PG,85.57,65,100,4.88,-2.6741,141.3028
1198,1198,Yellowknife,CA,73.56,25,79,17.0,62.456,-114.3525
1199,1199,Thompson,CA,56.97,61,89,0.98,55.7435,-97.8558
1200,1200,Rikitea,PF,73.31,79,62,19.06,-23.1203,-134.9692
1201,1201,Cape town,ZA,64.11,51,4,3.67,-33.9258,18.4232
1202,1202,Port-gentil,GA,75.63,89,100,7.65,-0.7193,8.7815
1203,1203,Castanos,MX,83.95,37,85,14.12,26.7833,-101.4167
1204,1204,Erenhot,CN,59.09,43,5,2.57,43.6475,111.9767
1205,1205,Atuona,PF,78.48,72,13,15.35,-9.8,-139.0333
1206,1206,Praia da vitoria,PT,64.76,94,20,9.22,38.7333,-27.0667
1207,1207,Castro,CL,47.68,93,100,20.71,-42.4721,-73.7732
1208,1208,Mar del plata,AR,48.09,90,100,5.75,-38.0023,-57.5575
1209,1209,Voh,NC,84.6,52,3,2.51,-20.9667,164.7
1210,1210,Kurumkan,RU,62.22,68,53,3.2,54.3,110.3
1211,1211,East london,ZA,61.0,79,9,12.19,-33.0153,27.9116
1212,1212,La romana,DO,79.16,89,20,0.0,18.4273,-68.9728
1213,1213,Hofn,IS,52.77,72,100,7.67,64.2539,-15.2082
1214,1214,Robertsport,LR,78.46,84,100,6.22,6.7533,-11.3686
1215,1215,Rawson,AR,50.74,57,100,14.12,-43.3002,-65.1023
1216,1216,Harbour breton,CA,46.89,76,98,3.4,47.4833,-55.7983
1217,1217,Inverell,AU,56.1,63,37,8.99,-29.7833,151.1167
1218,1218,Ilave,PE,44.04,81,100,1.63,-16.0833,-69.6667
1219,1219,Iberia,PE,74.82,78,100,2.28,-11.35,-69.5833
1220,1220,Port elizabeth,ZA,55.38,82,7,6.13,-33.918,25.5701
1221,1221,Kalmunai,LK,79.65,79,100,8.05,7.4167,81.8167
1222,1222,Ponta do sol,CV,73.18,79,16,15.68,17.1994,-25.0919
1223,1223,Bluff,NZ,55.8,71,4,6.76,-46.6,168.3333
1224,1224,Pondicherry,IN,82.51,68,100,4.83,11.93,79.83
1225,1225,Castro,CL,47.68,93,100,20.71,-42.4721,-73.7732
1226,1226,Port hardy,CA,53.89,81,97,3.02,50.6996,-127.4199
1227,1227,Pisco,PE,65.01,77,14,8.05,-13.7,-76.2167
1228,1228,Vaini,TO,75.96,79,45,7.43,-21.2,-175.2
1229,1229,Khatanga,RU,32.63,77,100,7.38,71.9667,102.5
1230,1230,Canutama,BR,73.09,95,96,2.19,-6.5339,-64.3831
1231,1231,Touros,BR,75.38,84,28,11.81,-5.1989,-35.4608
1232,1232,Rikitea,PF,73.31,79,62,19.06,-23.1203,-134.9692
1233,1233,Vardo,NO,44.58,81,100,20.71,70.3705,31.1107
1234,1234,Ancud,CL,49.06,93,100,28.03,-41.8697,-73.8203
1235,1235,Castro,CL,47.68,93,100,20.71,-42.4721,-73.7732
1236,1236,Kaitangata,NZ,56.82,64,0,5.1,-46.2817,169.8464
1237,1237,Winnemucca,US,66.25,63,100,5.75,40.973,-117.7357
1238,1238,Mehamn,NO,44.51,79,67,18.16,71.0357,27.8492
1239,1239,Castro,CL,47.68,93,100,20.71,-42.4721,-73.7732
1240,1240,Puerto ayora,EC,70.56,96,100,4.0,-0.7393,-90.3518
1241,1241,Rocha,UY,49.64,96,96,3.74,-34.4833,-54.3333
1242,1242,Ushuaia,AR,47.86,49,75,17.27,-54.8,-68.3
1243,1243,Tuktoyaktuk,CA,32.41,75,36,9.24,69.4541,-133.0374
1244,1244,Borgo san dalmazzo,IT,63.14,100,21,4.88,44.333,7.4858
1245,1245,Hilo,US,87.28,86,100,4.61,19.7297,-155.09
1246,1246,Grindavik,IS,43.9,65,75,11.5,63.8424,-22.4338
1247,1247,Busselton,AU,58.06,61,100,10.22,-33.65,115.3333
1248,1248,Laguna,BR,61.99,94,100,8.12,-28.4825,-48.7808
1249,1249,Albany,AU,54.82,77,100,5.99,-35.0169,117.8917
1250,1250,Talnakh,RU,31.21,67,27,1.86,69.4865,88.3972
1251,1251,Beloha,MG,64.63,94,8,9.19,-25.1667,45.05
1252,1252,Hobart,AU,49.86,76,75,26.46,-42.8794,147.3294
1253,1253,Hami,CN,79.5,18,0,10.83,42.8,93.45
1254,1254,Jamestown,SH,64.02,71,0,3.65,-15.9387,-5.7168
1255,1255,Saskylakh,RU,37.47,57,100,5.3,71.9167,114.0833
1256,1256,Pisco,PE,65.01,77,14,8.05,-13.7,-76.2167
1257,1257,Jamestown,SH,64.02,71,0,3.65,-15.9387,-5.7168
1258,1258,Barrow,US,30.22,80,100,21.85,71.2906,-156.7887
1259,1259,Basco,PH,84.85,79,99,20.09,20.4487,121.9702
1260,1260,Qaanaaq,GL,25.81,78,81,5.55,77.484,-69.3632
1261,1261,Avarua,CK,80.65,78,40,13.8,-21.2078,-159.775
1262,1262,Avarua,CK,80.65,78,40,13.8,-21.2078,-159.775
1263,1263,Port alfred,ZA,54.18,91,8,11.41,-33.5906,26.891
1264,1264,Hobart,AU,49.86,76,75,26.46,-42.8794,147.3294
1265,1265,Hirara,JP,86.27,84,75,18.41,24.8,125.2833
1266,1266,Carnarvon,AU,70.34,51,0,6.35,-24.8667,113.6333
1267,1267,Hermanus,ZA,62.02,49,11,7.2,-34.4187,19.2345
1268,1268,Ibra,OM,80.98,52,0,1.61,22.6906,58.5334
1269,1269,Kapaa,US,82.38,70,0,10.36,22.0752,-159.319
1270,1270,Swan river,CA,55.29,44,8,10.36,52.1058,-101.2676
1271,1271,Katsuura,JP,64.42,91,100,24.45,35.1333,140.3
1272,1272,Mocuba,MZ,61.99,98,68,4.16,-16.8392,36.9856
1273,1273,Port alfred,ZA,54.18,91,8,11.41,-33.5906,26.891
1274,1274,Takoradi,GH,76.57,89,98,7.78,4.8845,-1.7554
1275,1275,Saskylakh,RU,37.47,57,100,5.3,71.9167,114.0833
1276,1276,Yellowknife,CA,73.56,25,79,17.0,62.456,-114.3525
