,City,Country,Max Temp,Lat,Lng,Hotel Name
1381,Brejo da madre de deus,BR,66.0,-8.1458,-36.3711,Pousada Madre de Deus
1383,Dongsheng,CN,67.6,39.8161,109.9776,Wenlan Hotel
1385,Brigantine,US,64.02,39.4101,-74.3646,La Sammana
1391,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1392,Cidreira,BR,62.4,-30.1811,-50.2056,Apart Hotel Portuguêsa
1398,Jalu,LY,78.06,29.0331,21.5482,Jalu Hotel
1399,Manta,EC,73.18,-0.95,-80.7333,Hotel LUN FUN Manta
1402,Touros,BR,75.38,-5.1989,-35.4608,Bugaendrus Paradise
1407,Bengkulu,ID,79.65,-3.8004,102.2655,Splash Hotel Bengkulu
1410,Vao,NC,73.36,-22.6667,167.4833,OURE TERA beach resort
1411,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1413,Nelson bay,AU,61.11,-32.7167,152.15,Halifax Holiday Park
1414,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1415,Bafq,IR,77.49,31.6128,55.4107,Nikan Hotel
1417,Arraial do cabo,BR,69.06,-22.9661,-42.0278,Ocean View Hotel
1421,Sangre grande,TT,76.96,10.5835,-61.1177,Double Palm Inn
1423,Praia da vitoria,PT,64.76,38.7333,-27.0667,Espirito Santo Hotel
1425,Lagoa,PT,63.93,39.05,-27.9833,Graciosa Resort - Biosphere Island Hotel
1426,College,US,73.58,64.8569,-147.8028,Best Western Plus Chena River Lodge
1427,Cape town,ZA,64.11,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1428,Saint-philippe,RE,71.19,-21.3585,55.7679,Le four à pain
1431,Chase,CA,67.08,50.8165,-119.6857,Shuswap Sands Mobile Home Park
1432,Sao felix do xingu,BR,69.89,-6.6447,-51.995,Aparte Hotel Rio Xingu
1445,San joaquin,BO,74.48,-16.3829,-58.3947,Hotel Pantanal San Matias
1447,Rikitea,PF,73.31,-23.1203,-134.9692,Pension Bianca & Benoit
1448,Vila franca do campo,PT,70.2,37.7167,-25.4333,Place of Moments
1449,Puerto ayora,EC,70.56,-0.7393,-90.3518,Castillo Galapagos
1450,Ketchikan,US,63.07,55.3422,-131.6461,Super 8 by Wyndham Ketchikan
1452,Aberdeen,US,63.3,45.4647,-98.4865,Quality Inn Aberdeen
1455,Zhob,PK,78.76,31.3411,69.4481,Cooperative office zhob
1457,Guerrero negro,MX,63.7,27.9769,-114.0611,Cowboy Grill Hotel
1461,Pocatello,US,65.17,42.8713,-112.4455,Hampton Inn & Suites Pocatello
1463,Vaini,TO,75.96,-21.2,-175.2,Tonga South Beach House
1465,Mayskiy,RU,60.21,47.6931,40.1025,Миниотель
1466,Jumla,NP,66.42,29.2747,82.1838,Famous bhutuwa corner
1468,Mahebourg,MU,71.89,-20.4081,57.7,Le Peninsula Bay Beach Resort & Spa
1470,Carnarvon,AU,70.34,-24.8667,113.6333,Good Paddock Restaurant By Gascoyne Hotel
